schoolyr,DRINK,age,male,GPA
2,0,19,0,3.81
3,1,24,0,2.78
3,0,20,1,2.93
3,0,23,0,2.41
1,1,18,0,2.05
5,0,25,1,3.75
2,0,19,1,3.76
3,1,21,0,3.1
2,1,19,0,3.07
4,1,24,0,3.87
4,1,21,1,3.64
3,1,21,0,3.21
2,0,20,0,3.07
1,1,19,0,3.08
4,1,22,0,2.63
4,1,23,0,2.55
1,0,18,1,3
4,1,21,1,3.74
4,0,25,0,2.56
3,1,21,1,2.75
2,0,25,0,3.84
3,1,20,0,3.28
2,0,20,0,3
3,0,20,0,3.27
1,1,19,0,2.89
3,1,20,0,3.76
4,0,21,0,3.83
2,1,20,0,2.67
2,0,20,0,3.79
1,1,18,1,3.11
3,0,20,0,3.52
5,1,25,0,3.27
3,0,19,0,2.78
1,1,19,1,1.96
1,0,19,0,2.8
3,1,21,0,2.1
3,1,21,0,3.83
4,0,19,0,3.73
3,1,20,0,3.58
2,1,19,0,3.37
4,1,25,0,3.75
4,1,22,0,3.13
1,0,19,0,4
3,1,22,0,3.16
2,1,20,0,2.1
4,1,22,1,3.76
2,0,20,0,3.57
2,1,19,1,2.56
3,1,20,1,3.82
1,0,19,0,3.55
3,0,23,1,2.13
1,1,19,0,2.61
4,1,21,0,3.81
4,0,21,1,2.76
3,1,21,1,2.2
2,0,19,0,3.33
3,1,25,0,3.44
2,1,20,0,3.62
4,1,22,0,3.83
2,0,20,1,3.38
5,0,25,1,3.64
2,0,20,0,3.46
1,1,19,1,2.06
1,1,19,1,2.85
1,0,18,0,3.78
1,0,19,0,2.94
4,1,21,1,3.59
1,0,19,0,3.74
4,1,21,0,3.77
1,0,18,1,3.26
1,0,18,0,2.83
3,0,20,0,3
1,0,19,1,3.26
1,1,19,1,3.66
2,0,19,0,3.58
4,1,22,0,3.29
5,1,23,0,2.46
1,1,19,0,2.89
2,1,19,0,2.82
2,1,18,0,3.74
3,1,20,0,3.28
3,1,25,1,3.84
2,1,19,1,2.26
4,0,22,0,3.02
3,0,20,1,2.62
3,1,20,0,3.23
1,1,19,1,3.94
3,0,21,1,3.97
1,1,18,0,3.06
2,1,19,0,2.05
1,1,19,0,3.11
3,1,21,0,3.54
4,1,21,1,2.65
1,1,19,0,3.79
3,1,21,0,2.6
4,1,21,1,3.14
4,1,22,0,3.19
1,1,19,0,3.71
1,1,18,1,2.32
4,1,20,0,3.04
3,1,20,0,2.9
1,0,18,0,3.43
5,1,22,1,2.35
1,0,18,0,3.27
2,0,19,1,2.75
2,1,19,1,3.5
5,1,23,0,3.89
4,1,21,0,2.83
4,1,21,1,3.23
4,1,21,0,3.35
1,1,18,1,2.04
4,1,22,0,3.13
3,1,20,0,2.8
4,1,24,0,2.79
1,0,19,0,3.56
1,1,18,1,3.19
5,1,24,1,2.48
4,1,21,0,3.34
5,0,23,1,2.86
3,1,21,1,3.59
2,0,22,1,1.81
1,0,19,0,3.81
4,1,20,0,2.5
3,1,25,0,3.42
4,1,21,0,3.95
1,1,18,0,3.82
1,1,19,0,2.01
4,1,23,1,2.33
4,0,25,0,3.64
3,0,20,0,3.58
3,1,23,1,1.79
4,1,22,1,2.89
1,0,19,1,3.99
2,1,19,0,2.13
2,0,19,0,3.38
1,1,18,1,2.17
1,0,19,0,3.72
4,0,21,0,3.81
2,0,20,1,2.67
1,1,19,1,2.8
5,1,22,0,3.15
3,1,21,0,3.7
2,0,20,1,2.12
1,0,19,1,3.47
2,1,20,0,3.5
4,1,25,0,3.71
5,1,25,0,3.71
3,1,22,0,3.99
2,1,19,0,3.78
1,1,18,0,3.8
1,1,18,0,3.07
2,0,21,1,2.63
1,1,19,1,3.58
4,1,22,1,3.19
1,0,19,0,3.68
3,1,24,0,2.76
4,1,25,0,3.06
2,1,19,1,2.88
1,0,18,0,3.12
3,0,22,1,3.89
3,0,20,1,3.91
3,1,20,0,3.06
4,1,23,0,3.46
2,1,19,0,3.38
5,1,20,0,3.77
4,1,22,1,3.44
4,0,20,1,3
3,1,20,1,2.31
2,1,19,0,3.74
1,0,18,1,3.15
3,1,20,0,3.07
2,1,20,0,3.38
2,1,20,1,3.15
1,1,17,0,3.25
4,1,21,0,3.82
2,1,24,1,3.13
4,1,22,0,3.2
1,1,18,0,3.83
3,0,20,0,3.76
5,1,25,1,1.76
2,0,19,0,3.77
3,1,22,0,2.8
3,1,21,0,2.77
3,1,21,1,2.82
2,0,19,0,3.58
1,0,18,0,3.84
2,1,20,1,3.28
2,1,21,1,2.92
5,0,23,0,3.25
2,0,20,1,3.5
2,1,19,1,2.81
4,1,25,1,2.29
3,1,21,0,2.83
4,1,21,1,3.09
4,1,21,0,3.19
1,1,18,1,3.72
2,1,20,0,1.53
1,0,19,0,2.51
2,1,20,0,3.77
4,1,22,1,2.37
1,0,18,1,3.71
2,0,20,1,3.11
1,1,19,1,2.66
1,0,21,0,3.77
3,1,22,0,3.25
1,0,19,0,3.12
1,1,19,0,2.09
1,1,19,0,2.92
3,0,20,0,3.28
5,0,25,0,3.24
3,0,20,0,3.77
4,1,22,1,3.05
1,1,19,0,3.52
3,0,25,0,2.99
2,1,25,1,3.59
4,0,22,0,3.02
2,0,19,0,2.7
3,1,21,0,2.76
5,1,22,1,3.37
1,0,18,0,3.11
1,1,19,0,3.75
2,1,20,0,2.74
5,1,23,0,3.38
3,1,21,1,2.75
4,0,21,1,2.7
3,1,21,1,2.81
2,1,19,0,3.13
4,1,21,1,2.78
4,1,25,1,2.87
4,1,23,0,3.32
4,0,21,0,3.31
4,0,22,0,3.56
3,1,20,1,3.07
3,1,25,1,3.43
1,1,21,1,2.08
